id_acao,descricao_acao,id_oe
1.1.1,"Consolidar o Sistran-SP como instância coordenadora da política estadual de segurança viária, com competência para articulação dos municípios, integração entes estaduais e monitoramento da implementação do plano",OE 1.1
1.1.2,"Institucionalizar o PSV-SP por ato normativo, com vigência decenal e revisões periódicas nos horizontes de curto, médio e longo prazos, antecedendo cada novo ciclo de planejamento",OE 1.1
1.1.3,"Instituir o Comitê Gestor do PSV-SP para monitorar a implementação do plano, validar resultados e fortalecer a corresponsabilidade entre os órgãos envolvidos",OE 1.1
1.1.4,"Integrar metas e diretrizes do PSV-SP aos instrumentos de governo e planos setoriais e regionais, institucionalizando-as no planejamento estadual",OE 1.1
1.1.5,"Fortalecer a governança territorial, ampliando o papel das instâncias regionais comoarticuladoras e apoio técnico aos municípios, e promovendo a criação e integração de observatórios municipais ao SISTRAN-SP",OE 1.1
1.1.6,"Instituir uma Agenda Integrada de Mobilização pela Segurança Viária, garantindo participação regular do Estado e municípios",OE 1.1
1.2.1,"Viabilizar recursos para a segurança viária, integrando o PSV-SP aos orçamentos existentes e garantindo transparência e rastreabilidade dos recursos públicos",OE 1.2
1.2.2,"Aplicar recursos estaduais de segurança viária com base em evidências e critérios técnicos, incentivando que municípios e órgãos adotem boas práticas alinhadas ao PSV-SP",OE 1.2
1.2.3,Implementar ferramenta pública de transparência e prestação de contas sobre o uso dos recursos estaduais destinados à mobilidade e segurança viária,OE 1.2
1.3.1,"Fortalecer o arcabouço normativo da política estadual de segurança viária, articulando com a Assembleia Legislativa, órgãos federais e entidades setoriais a atualização e criação de normas que ampliem a efetividade e sustentabilidade da política",OE 1.3
1.3.2,"Reforçar o SISTRAN-SP como instrumento de cooperação e compromisso de segurança viária, alinhado à Visão Zero, entre o Estado e os municípios",OE 1.3
1.3.3,"Firmar parcerias, convênios e acordos de cooperação com entidades públicas, privadas e da sociedade civil, nacionais e internacionais, para apoio técnico, institucional ou financeiro às ações de segurança viária",OE 1.3
1.3.4,"Incentivar a adoção de práticas integradas de segurança viária que contribuam para a redução de sinistros envolvendo usuários vulneráveis, com prioridade para motociclistas, pedestres e ciclistas.",OE 1.3
2.1.1,Consolidar o Infosiga como sistema de gestão da segurança viária no Estado,OE 2.1
2.1.2,Criar o Fórum Estadual de Dados de Segurança Viária como instância permanente de gestão da informação,OE 2.1
2.1.3,Firmar instrumentos legais para compartilhamento de dados entre municípios e outros entes públicos,OE 2.1
2.1.4,Aprimorar a coleta e sistematização de dados de sinistros de trânsito,OE 2.1
2.1.5,"Fortalecer o Grupo de Trabalho de Avaliação de Causas Externas, articulando-o ao Observatório Estadual",OE 2.1
2.2.1,Integrar as bases de dados relevantes para a gestão da segurança viária ao Infosiga,OE 2.2
2.2.2,Criar mecanismos para verificação automatizada da completude e consistência dos dados e informações de segurança viária no Infosiga,OE 2.2
2.3.1,Divulgar periodicamente análises de segurança viária para orientar a priorização de intervenções e políticas públicas,OE 2.3
2.3.2,Divulgar periodicamente boletins de acompanhamento da implementação do PSV-SP e da custo-efetividade dos investimentos estaduais em segurança viária,OE 2.3
2.3.3,Aplicar e disseminar metodologias de avaliação de impacto em segurança viária,OE 2.3
2.3.4,Promover a capacitação continuada em análise e gestão da informação,OE 2.3
2.3.5,Implantar sistemas automáticos de monitoramento de tráfego das rodovias estaduais,OE 2.3
3.1.1,"Desenvolver guia técnico estadual de desenho viário seguro que reúna, revise e atualize diretrizes e parâmetros alinhados ao Sistema Seguro, subsidiando municípios e órgãos estaduais na formulação e implementação de projetos viários na malha urbana que protejam os usuários vulneráveis (pedestres, ciclistas e motociclistas)",OE 3.1
3.1.2,"Incorporar parâmetros de infraestrutura viária segura, alinhados ao Sistema Seguro, em contratos de concessão de rodovias e de novas rodovias, vinculando resultados à redução de risco e à promoção de mobilidade segura para pedestres, ciclistas e transporte coletivo",OE 3.1
3.1.3,"Incorporar parâmetros de infraestrutura viária segura, alinhados ao Sistema Seguro, em contratos de concessão de corredores de transporte coletivo (BRT e VLT), vinculando resultados à redução de risco e à promoção de mobilidade segura para pedestres e ciclistas",OE 3.1
3.1.4,"Incorporar parâmetros de infraestrutura viária segura, alinhados ao Sistema Seguro, em contratos de manutenção de rodovias, vinculando resultados à redução de risco e à promoção de mobilidade segura para pedestres, ciclistas e transporte coletivo",OE 3.1
3.1.5,"Desenvolver Manual Rodoviário para Pedestres do DER-SP, contemplando diretrizes e parâmetros de desenho viário, manutenção, operação e medidas de baixo custo voltadas à proteção de pedestres nas rodovias estaduais",OE 3.1
3.1.6,"Articular com órgãos federais a atualização e harmonização de normas técnicas de infraestrutura e desenho viário, assegurando padrões de proteção a usuários vulneráveis nas malhas urbana e rodoviária",OE 3.1
3.2.1,"Tratar pontos críticos de sinistralidade nas rodovias estaduais, assegurando a redução do risco de sinistros e a proteção de todos os usuários, com atenção especial aos mais vulneráveis, como pedestres, ciclistas e motociclistas",OE 3.2
3.2.2,"Fornecer apoio técnico e financeiro a municípios no desenvolvimento e implantação de projetos viários seguros, voltados especialmente à proteção e acessibilidade de pedestres e ciclistas, por meio de programas estaduais",OE 3.2
3.2.3,"Implementar programa estadual de prevenção e mitigação de atropelamentos de fauna silvestre e doméstica em rodovias estaduais concedidas e não concedidas, visando a redução da mortalidade de animais e usuários",OE 3.2
3.3.1,Incluir critérios de segurança viária nos planos e programas estaduais de transporte coletivo e elaborar plano de ação para integração da malha em regiões de alta demanda e sinistralidade,OE 3.3
3.3.2,"Apoiar a implementação do Plano Cicloviário Estadual, garantindo uma rede cicloviária conectada e protegida, integrada ao transporte coletivo e às áreas urbanizadas",OE 3.3
4.1.1,Integrar a dimensão educativa da segurança viária no cotidiano escolar estadual e municipal,OE 4.1
4.1.2,"Estabelecer instrumentos legais parcerias com universidades públicas, privadas e institutos federais, para pesquisa, extensão e formação em mobilidade e segurança viária, e para atividades e projetos de educação integrados que conectem os níveis básico, fundamental, médio e superior",OE 4.1
4.1.3,"Estabelecer instrumentos legais com municípios, organizações da sociedade civil e institutos especializados para ampliar programas de educação para o trânsito",OE 4.1
4.1.4,Promover atividades de sensibilização de jovens no âmbito escolar sobre temas relacionados à segurança viária,OE 4.1
