id_acao,id_eixo
1.1.2,t3
1.1.4,t3
1.2.3,t3
1.3.1,t1
1.3.1,t2
1.3.2,t2
1.3.3,t3
1.3.4,t1
1.3.4,t3
2.1.1,t2
2.1.2,t3
2.1.3,t3
2.1.4,t3
2.2.1,t3
2.2.2,t3
2.3.1,t3
2.3.2,t3
2.3.4,t3
2.3.5,t1
3.1.1,t3
3.1.2,t3
3.1.3,t3
3.1.4,t3
3.1.5,t3
3.1.6,t1
3.2.1,t3
3.2.2,t2
3.2.2,t3
3.3.1,t3
3.3.2,t3
4.1.1,t3
4.1.2,t3
4.1.3,t3
4.1.4,t2
4.1.4,t3
4.2.1,t3
4.2.2,t3
4.3.1,t3
4.3.2,t3
4.3.3,t2
4.3.3,t3
4.3.4,t3
4.3.5,t3
5.1.2,t2
5.1.3,t2
5.2.1,t3
5.2.2,t3
5.2.3,t3
5.2.4,t3
5.3.3,t3
6.1.1,t3
6.1.2,t2
6.1.2,t3
6.1.6,t1
6.1.6,t3
6.2.2,t3
6.2.3,t2
6.2.3,t3
6.2.4,t3
6.2.5,t2
6.2.5,t3
6.2.7,t1
6.2.7,t3
6.3.1,t3
6.3.2,t3
6.3.3,t3
7.1.1,t1
7.1.1,t3
7.1.2,t1
7.1.2,t3
7.1.3,t3
7.1.4,t3
7.1.5,t1
7.1.6,t1
7.1.6,t3
7.1.7,t3
7.2.1,t1
7.2.1,t3
7.2.2,t1
7.2.2,t3
7.2.3,t1
7.3.3,t1
8.1.1,t3
8.1.3,t3
8.1.4,t2
8.1.4,t3
8.2.2,t3
8.2.3,t3
8.4.1,t2
8.4.1,t3
8.4.2,t2
8.4.2,t3
