id_produto,id_ator
1.1.1.1,A017
1.1.1.2,A017
1.1.1.3,A011
1.1.1.4,A017
1.1.2.1,A008
1.1.2.1,A011
1.1.2.2,A011
1.1.2.3,A017
1.1.2.4,A017
1.1.2.5,A008
1.1.2.5,A034
1.1.3.1,A008
1.1.3.1,A011
1.1.3.2,A011
1.1.3.3,A011
1.1.4.1,A017
1.1.4.2,A008
1.1.4.2,A017
1.1.4.3,A035
1.1.4.4,A017
1.1.5.1,A041
1.1.5.3,A017
1.1.6.1,A011
1.1.6.1,A017
1.2.1.1,A017
1.2.1.2,A017
1.2.1.3,A017
1.2.2.2,A027
1.2.3.1,A011
1.2.3.1,A034
1.2.3.2,A011
1.2.3.2,A034
1.2.3.4,A011
1.2.3.4,A034
1.3.1.2,A017
1.3.1.5,A011
1.3.2.1,A017
1.3.2.2,A017
1.3.2.3,A027
1.3.2.3,A035
1.3.2.3,A037
1.3.2.4,A008
1.3.2.4,A027
1.3.2.4,A035
1.3.2.4,A037
1.3.2.5,A035
1.3.3.1,A008
1.3.3.1,A035
1.3.3.2,A017
1.3.3.2,A027
1.3.3.2,A035
1.3.4.1,A011
1.3.4.1,A041
1.3.4.2,A008
1.3.4.2,A035
1.3.4.3,A008
1.3.4.3,A011
1.3.4.3,A035
1.3.4.4,A008
1.3.4.4,A017
1.3.4.5,A008
1.3.4.5,A022
2.1.1.1,A004
2.1.1.1,A008
2.1.1.1,A009
2.1.1.1,A024
2.1.1.1,A033
2.1.1.1,A036
2.1.1.1,A041
2.1.1.2,A008
2.1.1.2,A027
2.1.1.2,A029
2.1.1.2,A031
2.1.1.2,A036
2.1.1.2,A041
2.1.1.3,A008
2.1.1.3,A034
2.1.2.1,A011
2.1.2.2,A017
2.1.2.3,A017
2.1.3.1,A007
2.1.3.1,A034
2.1.3.1,A035
2.1.3.2,A017
2.1.3.3,A041
2.1.4.1,A002
2.1.4.1,A004
2.1.4.1,A009
2.1.4.1,A023
2.1.4.1,A024
2.1.4.1,A040
2.1.4.1,A041
2.1.4.2,A002
2.1.4.2,A004
2.1.4.2,A009
2.1.4.2,A023
2.1.4.2,A024
2.1.4.2,A040
2.1.4.2,A041
2.1.4.3,A002
2.1.4.3,A004
2.1.4.3,A009
2.1.4.3,A023
2.1.4.3,A024
