id_indicador,id_oe,nome_indicador,descricao_indicador,formula,fonte,periodicidade
1.1A,OE 1.1,Índice de maturidade da governança do PSV-SP,"Avalia o grau de consolidação da estrutura de governança estadual da segurança viária, considerando a formalização, a transparência e a regularidade dos instrumentos que sustentam o funcionamento do SISTRAN-SP e do PSV-SP. Os “requisitos de governança” correspondem aos elementos institucionais essenciais, definidos pelo próprio Estado, como: regimento interno do SISTRAN-SP, calendário anual de reuniões, instituição e regimento do Comitê Gestor, base normativa atualizada, relatórios anuais de acompanhamento e atas publicadas.",(nº de requisitos cumpridos ÷ nº total de requisitos definidos) × 100,"Portal SISTRAN-SP e Diário Oficial do Estado (atos, regimentos, relatórios e atas)",Anual
1.1B,OE 1.1,Integração do PSV-SP nos instrumentos de governo,"Mensura o grau de institucionalização do PSV-SP dentro do planejamento estadual, verificando a presença de suas metas e indicadores nos instrumentos oficiais de gestão. Consideram- se “instrumentos de governo” a Lei de Diretrizes Orçamentárias (LDO), a Lei Orçamentária Anual (LOA), planos setoriais e relatórios de gestão dos órgãos que integram o SISTRAN-SP.",nº de órgãos do SISTRAN-SP com metas ou indicadores do PSV- SP incorporados a instrumentos oficiais ÷ nº total de órgãos do SISTRAN-SP) × 100,"PPA, LDO, LOA e planos setoriais do Governo do Estado; planos setoriais; relatórios de gestão publicados; consolidação pelo CETRAN-SP no Portal SISTRAN-SP",Anual
1.2A,OE 1.2,Cobertura de critérios técnico-evidenciais nos repasses estaduais,"Avalia o percentual de instrumentos de repasse estadual (como editais, parcerias e chamadas públicas) que aplicam critérios técnicos de priorização baseados em evidências, custo- efetividade ou desempenho institucional. Considera-se como “critérios técnico-evidenciais” a exigência de diagnóstico de risco, indicadores de resultado, vinculação a estratégias abrangentes de segurança viária ou contrapartidas de gestão de dados pelos municípios.",(nº de instrumentos de repasse com critérios técnico-evidenciais ÷ nº total de instrumentos de repasse em segurança viária publicados no período) × 100,"DETRAN-SP, CETRAN-SP e Casa Civil (editais, parcerias e termos de cooperação); publicações e registros disponíveis no Portal SISTRAN-SP",Anual
1.2B,OE 1.2,Sustentabilidade financeira da política estadual de segurança viária,"Mede a constância e previsibilidade dos recursos públicos destinados à segurança viária, observando a existência contínua de dotações específicas ou previstas em planos já existentes e sua execução ao longo dos exercícios financeiros. O indicador reflete a capacidade do Estado de manter o financiamento da política de segurança viária como prioridade de governo, reduzindo oscilações e fragmentações orçamentárias.",(nº de exercícios com dotação específica para segurança viária ÷ nº total de exercícios no período acumulado de análise) × 100,"PPA, LDO e LOA; Portal da Transparência; consolidação pelo CETRAN-SP e DETRAN-SP",Anual
1.3A,OE 1.3,Cobertura territorial das ações de segurança viária,"Mede a abrangência territorial das ações de segurança viária, considerando a proporção da população residente em municípios signatários do SISTRAN-SP. Reflete o alcance do compromisso público com a segurança viária e a adesão municipal ao movimento estadual pela Visão Zero.",(população dos municípios aderentes ÷ população total do Estado) × 100,SISTRAN-SP / CETRAN-SP e estimativas populacionais do IBGE/ SEADE,Anual
1.3B,OE 1.3,Municípios com Plano ou Estratégia Abrangente de Segurança Viária vigente,"Indica a capacidade do Estado de induzir a institucionalização da segurança viária no nível local, por meio da elaboração e manutenção de planos ou estratégias municipais abrangentes, com ou sem apoio técnico direto do Estado. O indicador reflete o avanço da segurança viária como política pública permanente e integrada aos municípios paulistas.",(nº de municípios com plano ou estratégia abrangente de segurança viária vigente ÷ nº total de municípios do Estado) × 100,"Levantamento estadual do SISTRAN-SP, validado com dados municipais e relatórios públicos",Anual 
2.1A,OE 2.1,Adoção do aplicativo estadual de registro de sinistros de trânsito pelos órgãos da segurança pública,"Mede o grau de adoção do aplicativo estadual de registro de sinistros de trânsito pelos órgãos da segurança pública, refletindo o avanço na padronização e modernização da coleta de dados sobre sinistros com vítimas.",(nº de órgãos de segurança que implementaram o aplicativo ÷ total de órgãos de segurança) × 100,Levantamento DSV (DETRAN-SP),Anual 
2.1B,OE 2.1,Uso do aplicativo estadual de registro de sinistros de trânsito na coleta de dados de sinistros com vítimas,"Mede o grau de utilização efetiva do aplicativo estadual de registro de sinistros de trânsito na coleta de dados de sinistros com vítimas, refletindo a proporção de registros realizados por meio do aplicativo em relação ao total de sinistros registrados. O indicador permite avaliar o impacto do aplicativo na padronização e confiabilidade das informações coletadas.",(nº de registros feitos no aplicativo ÷ total de registros de sinistros) × 100,Levantamento DSV (DETRAN-SP),Anual 
2.1C,OE 2.1,Regularidade de envio de dados municipais ao Infosiga,"Mede o grau de corresponsabilidade dos municípios na gestão da informação, verificando o percentual de municípios que cumprem integralmente os prazos e critérios de atualização de dados no Infosiga. O cumprimento regular desses prazos é essencial para assegurar decisões baseadas em evidências.",(nº de municípios com 100% dos envios no prazo ÷ total de municípios participantes) × 100,Infosiga; consolidação CETRAN-SP / DETRAN-SP,Mensal (com consolidação anual) 
2.2A,OE 2.2,Bases de dados externas integradas ao Infosiga,"Mede o grau de integração de bases de dados externas relevantes ao Infosiga, refletindo a ampliação da capacidade de análise e gestão estratégica da segurança viária no Estado.",(nº de bases de dados externas integradas ao Infosiga ÷ total de bases de dados externas identificadas como relevantes) × 100,Infosiga; consolidação DETRAN-SP,Anual 
2.2B,OE 2.2,Dados de segurança viária com completude e consistência no Infosiga,"Mede a proporção de registros de segurança viária no Infosiga que passaram por verificação automatizada de completude e consistência e tiveram inconformidades resolvidas, refletindo a confiabilidade e qualidade dos dados para suporte à gestão da segurança viária.",(nº de registros com completude e consistência verificadas e inconformidades resolvidas ÷ total de registros no Infosiga) × 100,Infosiga; consolidação DETRAN-SP,Mensal (com consolidação anual)
2.3A,OE 2.3,Ações de segurança viária avaliadas com metodologias de avaliação de impacto,"Mede a proporção de ações de segurança viária do Estado que são acompanhadas por metodologias formais de avaliação de impacto, refletindo a capacidade de gerar evidências sobre a efetividade das intervenções e subsidiar decisões estratégicas para a redução de sinistros e proteção de usuários vulneráveis.",(nº de ações com avaliação de impacto aplicada ÷ total de ações de segurança viária implementadas no período) × 100,Levantamento DSV (DETRAN-SP),Anual
3.1A,OE 3.1,Uso do Guia Técnico Estadual de Desenho Viário Seguro em projetos viários na malha urbana por municípios paulistas e órgãos estaduais,"Mede a adoção prática do Guia Técnico Estadual de Desenho Viário Seguro por municípios e órgãos estaduais, ou seja, a proporção de instituições que aplicam as diretrizes do guia em projetos urbanos. Mostra o quanto o guia está sendo efetivamente usado para orientar projetos viários que protejam usuários vulneráveis e promovam segurança nas vias urbanas.",(nº de municípios e órgãos estaduais que atestam adotar o guia em projetos ÷ total de municípios e órgãos estaduais-alvo) × 100,Diagnóstico de Segurança Viária dos Municípios Paulistas (DETRAN-SP),A cada 3 anos
3.1B,OE 3.1,Indicadores de infraestrutura viária segura em contratos de concessão de rodovias estaduais,"Mede a proporção de contratos de concessão de rodovias estaduais que incluem o monitoramento de indicadores de infraestrutura viária segura. Mostra o quanto os contratos de concessão incorporam e acompanham medidas que promovem a segurança viária e protegem usuários vulneráveis, garantindo que a gestão privada siga parâmetros alinhados ao Sistema Seguro.",(nº de contratos de concessão que possuem indicadores de infraestrutura segura monitorados ÷ total de contratos de concessão vigentes) × 100,Levantamento ARTESP,Anual
3.1C,OE 3.1,Indicadores de infraestrutura viária segura em contratos de manutenção de rodovias estaduais,"Mede a abrangência da adoção de indicadores de infraestrutura viária segura nos contratos de manutenção de rodovias estaduais, ou seja, a proporção de contratos que incluem metas ou métricas de segurança viária monitoradas. Mostra o quanto a gestão da manutenção considera e acompanha a implementação de medidas que reduzem riscos e protegem usuários vulneráveis.",(nº de contratos de manutenção que possuem indicadores de infraestrutura segura monitorados ÷ total de contratos de manutenção vigentes) × 100,Levantamento DER-SP,Anual
3.2A,OE 3.2,Trechos críticos rodoviários tratados que apresentam pelo menos 3 estrelas iRAP para usuários vulneráveis,"Mede a proporção de pontos críticos em rodovias tratados cuja classificação iRAP para os modos vulneráveis (pedestres, ciclistas e motociclistas) aumentou para pelo menos 3 estrelas após 12 meses da intervenção.",(n° pontos de críticos tratados que atingiram no mínimo 3 estrelas para todos os modos vulneráveis ÷ total de projetos viários com menos de 3 estrelas apoiados ou executados pelo Estado) × 100,Avaliação iRAP/BrazilRap São Paulo,Anual
3.2B,OE 3.2,Projetos de desenho viário seguro na malha urbana apoiados ou executados pelo Estado localizados em pontos críticos ou de alto risco de sinistralidade,"Mede o quanto do apoio financeiro ou execução de projetos viários do Estado está concentrado em locais de maior risco, ou seja, a proporção de projetos localizados em pontos críticos de sinistralidade ou trechos com risco viário identificado. Mostra o foco do investimento estatal em locais onde há maior necessidade de reduzir sinistros graves e proteger usuários vulneráveis.",(nº de projetos de desenho seguro em pontos críticos ou áreas de risco viário ÷ total de projetos viários apoiados ou executados pelo Estado) × 100,Dados dos Programas Respeito à Vida (DETRAN-SP) e Bairro Paulista (SDUH),Anual
3.3A,OE 3.3,"Implantação da malha de transporte coletivo (BRT, VLT, Metrô) em regiões de alta demanda e alta sinistralidade","Mede a proporção da malha de transporte coletivo (BRT, VLT, Metrô) que foi implantada em regiões de alta demanda e com elevada sinistralidade, ou seja, quanto da expansão da malha priorizou áreas críticas para segurança e mobilidade.",(extensão de trechos integrados em regiões de alta demanda e sinistralidade ÷ total de trechos integrados da malha) × 100,Levantamento STM; Origem e Destino; Infosiga,A cada 5 anos
