id_indicador,descricao_indicador,id_produto
1.1.1.1.1,Regimento interno do Sistran-SP publicado,1.1.1.1
1.1.1.2.1,Decreto do Sistran-SP revisado,1.1.1.2
1.1.1.3.1,Base normativa elaborada,1.1.1.3
1.1.1.3.2,N° de atualizações realizadas,1.1.1.3
1.1.1.4.1,N° de reuniões realizadas,1.1.1.4
1.1.2.1.1,Decreto publicado,1.1.2.1
1.1.2.2.1,Calendário oficial definido e publicado,1.1.2.2
1.1.2.3.1,N° de relatórios publicados,1.1.2.3
1.1.2.4.1,N° de manutenções realizadas,1.1.2.4
1.1.2.4.2,Portal lançado,1.1.2.4
1.1.2.5.1,N° de atualiações realizadas,1.1.2.5
1.1.2.5.2,Indicadores disponíveis publicamente,1.1.2.5
1.1.3.1.1,Comitê instituído,1.1.3.1
1.1.3.2.1,Regimento publicado,1.1.3.2
1.1.3.3.1,N° de reuniões ordinárias realizadas,1.1.3.3
1.1.4.1.1,Metas e indicadores incluidos nos instrumentos de governo,1.1.4.1
1.1.4.2.1,Matriz elaborada e atualizada,1.1.4.2
1.1.4.3.1,N° de notas técnicas publicada,1.1.4.3
1.1.4.4.1,N° de reuniões periódicas realizadas,1.1.4.4
1.1.5.1.1,% de Superintendências com novas funções,1.1.5.1
1.1.5.2.1,Guia publicado,1.1.5.2
1.1.5.2.2,Nº de municípios que aderiram ao modelo,1.1.5.2
1.1.5.3.1,Nº de conselhos municipais com participação de autoridades regionais e/ou estaduais,1.1.5.3
1.1.6.1.1,Agenda(s) publicada(s),1.1.6.1
1.1.6.1.2,Nº de municípios que aderiram à agenda,1.1.6.1
1.2.1.1.1,% dos órgaos competentes com recursos alocados,1.2.1.1
1.2.1.2.1,Módulo criado e integrado ao sistema para consulta pública,1.2.1.2
1.2.1.3.1,Matriz publicada,1.2.1.3
1.2.1.3.2,N° de atualizações realizadas,1.2.1.3
1.2.2.1.1,Critérios técnicos publicados,1.2.2.1
1.2.2.2.1,% de chamadas públicas com adoção dos critérios,1.2.2.2
1.2.2.3.1,Nº de participantes servidores e/ou gestores municipais,1.2.2.3
1.2.2.3.2,N° de capacitações realizadas,1.2.2.3
1.2.3.1.1,Plataforma lançada,1.2.3.1
1.2.3.1.2,N° de atualizações realizadas,1.2.3.1
1.2.3.2.1,Base de dados abertos publicada,1.2.3.2
1.2.3.2.2,N° de atualizações realizadas,1.2.3.2
1.2.3.3.1,Ferramenta publicada,1.2.3.3
1.2.3.4.1,Nº de ações de sensibilização realizadas,1.2.3.4
1.2.3.4.2,Nº de gestores e cidadãos nas ações de sensibilização,1.2.3.4
1.3.1.1.1,Diagnóstico publicado,1.3.1.1
