id_indicador,horizonte,valor
1.1.1.1.1,final,1
1.1.1.1.1,2027,1
1.1.1.2.1,final,1
1.1.1.2.1,2027,1
1.1.1.3.1,final,1
1.1.1.3.1,2027,1
1.1.1.3.2,final,8
1.1.1.3.2,2027,1
1.1.1.3.2,2030,3
1.1.1.3.2,2035,4
1.1.1.4.1,final,44
1.1.1.4.1,2027,12
1.1.1.4.1,2030,12
1.1.1.4.1,2035,20
1.1.2.1.1,final,1
1.1.2.1.1,2027,1
1.1.2.2.1,final,1
1.1.2.2.1,2027,1
1.1.2.3.1,final,10
1.1.2.3.1,2027,2
1.1.2.3.1,2030,3
1.1.2.3.1,2035,5
1.1.2.4.1,final,54
1.1.2.4.1,2027,6
1.1.2.4.1,2030,18
1.1.2.4.1,2035,30
1.1.2.4.2,final,1
1.1.2.4.2,2027,1
1.1.2.5.1,final,36
1.1.2.5.1,2027,4
1.1.2.5.1,2030,12
1.1.2.5.1,2035,20
1.1.2.5.2,final,1
1.1.2.5.2,2027,1
1.1.3.1.1,final,1
1.1.3.1.1,2027,1
1.1.3.2.1,final,1
1.1.3.2.1,2027,1
1.1.3.3.1,final,60
1.1.3.3.1,2027,12
1.1.3.3.1,2030,18
1.1.3.3.1,2035,30
1.1.4.1.1,final,1
1.1.4.1.1,2030,1
1.1.4.2.1,final,3
1.1.4.2.1,2027,1
1.1.4.2.1,2030,1
1.1.4.2.1,2035,1
1.1.4.3.1,final,10
1.1.4.3.1,2027,2
1.1.4.3.1,2030,3
1.1.4.3.1,2035,5
1.1.4.4.1,final,10
1.1.4.4.1,2027,2
1.1.4.4.1,2030,3
1.1.4.4.1,2035,5
1.1.5.1.1,final,0.5
1.1.5.1.1,2030,0.5
1.1.5.2.1,final,1
1.1.5.2.1,2027,1
1.1.5.2.2,final,10
1.1.5.2.2,2030,10
1.1.5.3.1,final,32
1.1.5.3.1,2030,12
1.1.5.3.1,2035,20
1.1.6.1.1,final,10
1.1.6.1.1,2027,2
1.1.6.1.1,2030,3
1.1.6.1.1,2035,5
1.1.6.1.2,final,300
1.1.6.1.2,2027,60
1.1.6.1.2,2030,90
1.1.6.1.2,2035,150
1.2.1.1.1,final,1
1.2.1.1.1,2027,1
1.2.1.1.1,2030,1
1.2.1.1.1,2035,1
1.2.1.2.1,final,1
1.2.1.2.1,2027,1
1.2.1.3.1,final,1
1.2.1.3.1,2030,1
1.2.1.3.2,final,6
1.2.1.3.2,2030,1
1.2.1.3.2,2035,5
1.2.2.1.1,final,1
1.2.2.1.1,2027,1
1.2.2.2.1,final,0.8
1.2.2.2.1,2027,0.8
1.2.2.3.1,final,1000
1.2.2.3.1,2027,200
1.2.2.3.1,2030,300
1.2.2.3.1,2035,500
1.2.2.3.2,final,36
1.2.2.3.2,2027,4
1.2.2.3.2,2030,12
1.2.2.3.2,2035,20
1.2.3.1.1,final,1
1.2.3.1.1,2027,1
1.2.3.1.2,final,18
1.2.3.1.2,2027,2
1.2.3.1.2,2030,6
1.2.3.1.2,2035,10
1.2.3.2.1,final,1
1.2.3.2.1,2027,1
1.2.3.2.2,final,8
1.2.3.2.2,2030,3
1.2.3.2.2,2035,5
1.2.3.3.1,final,1
1.2.3.3.1,2027,1
1.2.3.4.1,final,16
