id_oe,descricao_oe,id_eixo
OE 1.1,Fortalecimento da governança e institucionalização da segurança viária,1
OE 1.2,Financiamento sustentável e custo-efetivo da segurança viária,1
OE 1.3,Promoção do compromisso político e da corresponsabilidade interinstitucional,1
OE 2.1,Governança da gestão de dados de segurança viária,2
OE 2.2,Qualificação e integração dos dados de segurança viária,2
OE 2.3,Produção e divulgação de análises e evidências para gestão baseada em risco e inovação,2
OE 3.1,Estabelecimento de parâmetros e diretrizes estaduais de desenho viário seguro,3
OE 3.2,Apoio ao desenvolvimento e implementação de intervenções viárias seguras em municípios e rodovias estaduais,3
OE 3.3,"Infraestrutura segura e integrada para mobilidade ativa, coletiva e sustentável",3
OE 4.1,Educação para a segurança viária em todos os níveis de ensino e participação ativa de jovens,4
OE 4.2,Qualificação da formação e capacitação continuada de servidores para a segurança viária,4
OE 4.3,"Formação, atualização e qualidade da habilitação de condutores com foco em segurança viária ",4
OE 5.1,Campanhas de comunicação para dissuasão de comportamentos de risco,5
OE 5.2,Qualificação da narrativa de segurança viária em âmbito estadual,5
OE 5.3,Articulação com municípios para a sensibilização da população,5
OE 6.1,Integração institucional e coordenação da fiscalização de trânsito,6
OE 6.2,Fiscalização de fatores de risco prioritários baseada em dados e evidências,6
OE 6.3,Inovação e tecnologias para fiscalização e monitoramento contínuo,6
OE 7.1,"Inspeção, manutenção preventiva e renovação da frota",7
OE 7.2,Tecnologias de segurança e parâmetros regulatórios,7
OE 7.3,Governança da segurança veicular,7
OE 8.1,Resposta rápida e integrada aos sinistros de trânsito,8
OE 8.2,Rede hospitalar estruturada e inteligência em saúde,8
OE 8.3,Reabilitação integral e apoio às vítimas e famílias,8
OE 8.4,Governança do sistema de atendimento às vítimas,8
