id_produto,id_acao,nome_produto,id_ator_responsavel,id_detalhamento
1.1.1.1,1.1.1,Publicação do regimento interno do Sistran-SP,A008,D007
1.1.1.2,1.1.1,Revisão do Decreto que institui o Sistran-SP para inserção de todas as Secretarias de Estado como membros natos e alinhamento ao PSV-SP,A008,D005
1.1.1.3,1.1.1,"Elaboração e manutenção de base digital normativa do PSV-SP, correlacionando legislações federais, estaduais e municipais aplicáveis a cada eixo e ação do plano",A008,D006
1.1.1.4,1.1.1,Realização periódica de reuniões ordinárias do Sistran-SP,A008,D005
1.1.2.1,1.1.2,Publicação do decreto que institui formalmente o PSV-SP,A007,D003
1.1.2.2,1.1.2,"Definição oficial do calendário de revisões periódicas (curto, médio e longo prazos), alinhado aos ciclos do PPA e do planejamento estadual",A008,D005
1.1.2.3,1.1.2,"Elaboração de relatórios de monitoramento e avaliação de desempenho das ações, produtos e metas do PSV-SP",A011,D018
1.1.2.4,1.1.2,"Lançamento de portal público para monitoramento e avaliação do PSV-SP, com dados atualizados, relatórios e boas práticas",A008,D007
1.1.2.5,1.1.2,"Definição de indicadores estratégicos de segurança viária para o Estado, vinculado ao monitoramento do plano",A011,D018
1.1.3.1,1.1.3,"Institucionalização do comitê, com designação dos membros e publicação do ato no DOE",A034,D031
1.1.3.2,1.1.3,"Publicação de regimento interno do comitê, com definição de competências e frequência mínima de reuniões",A008,D007
1.1.3.3,1.1.3,Realização periódica de reuniões ordinárias e extraordinárias,A008,D007
1.1.4.1,1.1.4,Inclusão das metas e indicadores de segurança viária nos relatórios de gestão e planos estratégicos do governo estadual,A007,D004
1.1.4.2,1.1.4,"Elaboração de matriz de integração entre o PSV-SP e os planos setoriais e regionais, identificando grau de alinhamento, metas e responsabilidades",A011,D018
1.1.4.3,1.1.4,Publicação de nota técnica com recomendações e diretrizes para incorporação de metas de segurança viária nos planos estaduais e municipais,A011,D018
1.1.4.4,1.1.4,Realização de reuniões periódicas de alinhamento intersetorial entre órgãos envolvidos no âmbito do Sistran-SP,A008,D007
1.1.5.1,1.1.5,Estruturação de apoio técnico e articulação territorial em segurança viária pelas Superintendências Regionais do DETRAN-SP,A011,D022
1.1.5.2,1.1.5,"Elaboração e publicação de guia para orientar a criação e operação de observatórios municipais de segurança viária, integrados metodologicamente ao Observatório Estadual e tecnologicamente ao Infosiga",A011,D018
1.1.5.3,1.1.5,Participação das autoridades regionais e estaduais nos conselhos municipais de trânsito e transporte,A011,D018
1.1.6.1,1.1.6,"Publicação anual da Agenda Integrada de Mobilização pela Segurança Viária, no âmbito do Sistran-SP, voltada à mobilização de municípios e órgãos estaduais",A008,D007
1.2.1.1,1.2.1,"Alocação de recursos existentes para a segurança viária, com fluxos, fontes e governança",A011,D018
1.2.1.2,1.2.1,"Integração dos órgãos executivos estaduais de trânsito, no âmbito do SISTRAN-SP, aos sistemas orçamentário-financeiros",A011,D018
1.2.1.3,1.2.1,Elaboração e atualização de matriz de vinculação entre ações do PSV-SP e ações orçamentárias por órgão,A008,D007
1.2.2.1,1.2.2,"Definição e publicação de critérios técnicos de custo-efetividade, impacto em vidas salvas e retorno social para seleção de ações e projetos financiados",A011,D018
1.2.2.2,1.2.2,"Elaboração de editais e convênios com critérios técnicos e de desempenho, incluindo mecanismos de bonificação e prioridade com base em metas de segurança viária",A011,D018
1.2.2.3,1.2.2,Realização de capacitações técnicas para equipes estaduais e municipais sobre gestão de recursos com base em evidências e desempenho,A011,D018
1.2.3.1,1.2.3,"Lançamento de plataforma de transparência financeira da segurança viária, integrada ao portal do Sistran-SP",A008,D005
